State,Capital city,Second city,Third city
Alabama,Montgomery,Auburn,Huntsville
Alaska,Juneau,Anchorage,Fairbanks
Arizona,Phoenix,Tucson,Sedona
Arkansas,Little Rock,Fayetteville,Jonesboro
California,Sacramento,Barstow,Belmont
Colorado,Denver,Aurora,Colorado Springs
Connecticut,Hartford,Bloomfield,Farmington
Delaware,Dover,Milford,New Castle
Florida,Tallahassee,Miami,Tampa
Georgia,Atlanta,Alpharetta,Buford
Hawaii,Honolulu,Hilo,Laie
Idaho,Boise,Nampa,Caldwell
Illinois,Springfield,Normal,Chicago
Indiana,Indianapolis,Elwood,Bedford
Iowa,Des Moines,Ames,Davenport
Kansas,Topeka,Dodge City,Arkansas City
Kentucky,Frankfort,Covington,Harlan
Louisiana,Baton Rouge,New Orleans,Lafayette
Maine,Augusta,Bath,Auburn
Maryland,Annapolis,Bowie,College Park
Massachusetts,Boston,Adams,Cambridge
Michigan,Lansing,Alma,Detroit
Minnesota,Saint Paul,Hastings,Mankato
Mississippi,Jackson,Columbus,Oxford
Missouri,Jefferson City,Fulton,Lexington
Montana,Helena,Dillon,Miles City
Nebraska,Lincoln,Bellevue,Omaha
Nevada,Carson City,Ely,Las Vegas
New Hampshire,Concord,Nashua,Plymouth
New Jersey,Trenton,Atlantic City,Jersey City
New Mexico,Santa Fe,Shiprock,Lovington
New York,Albany,New York City,Nyack
North Carolina,Raleigh,Jacksonville,Kitty Hawk
North Dakota,Bismarck,Mandan,Devils Lake
Ohio,Columbus,Akron,Cincinnati
Oklahoma,Oklahoma City,Bethany,Edmond
Oregon,Salem,Newport,Newberg
Pennsylvania,Harrisburg,Philadelphia,Pittsburgh
Rhode Island,Providence,Tiverton,Central Falls
South Carolina,Columbia,Beaufort,Charleston
South Dakota,Pierre,Rapid City,Sioux Falls
Tennessee,Nashville,Chattanooga,Cleveland
Texas,Austin,Dallas,Alpine
Utah,Salt Lake City,American Folk,Moab
Vermont,Montpelier,Sharon,Winooski
Virginia,Richmond,Hampton,Roanoke
Washington,Olympia,Seattle,Tacoma
West Virginia,Charleston,Buckhannon,Harpers Ferry
Wisconsin,Madison,Eau Claire,Racine
Wyoming,Cheyenne,Gillette,Casper
