State,Capital city,Second city,Third city
1,Alabama,Montgomery,Auburn,Huntsville
2,Alaska,Juneau,Anchorage,Juneau
3,Arizona,Phoenix,Tucson,Sedona
4,Arkansas,Little Rock,Fayetteville,Jonesboro
5,California,Sacramento,Barstow,Belmont
6,Colorado,Denver,Aurora,Colorado Springs
7,Connecticut,Hartford,Bloomfield,Farmington
8,Delaware,Dover,Milford,New Castle
9,Florida,Tallahassee,Miami,Tampa
10,Georgia,Atlanta,Alpharetta,Buford
11,Hawaii,Honolulu,Hilo,Laie
12,Idaho,Boise,Boise,Caldwell
13,Illinois,Springfield,Normal,Chicago
14,Indiana,Indianapolis,Elwood,Bedford
15,Iowa,Des Moines,Ames,Davenport
16,Kansas,Topeka,Dodge City,Arkansas City
17,Kentucky,Frankfort,Covington,Harlan
18,Louisiana,Baton Rouge,New Orleans,Lafayette
19,Maine,Augusta,Bath,Auburn
20,Maryland,Annapolis,Bowie,College Park
21,Massachusetts,Boston,Adams,Cambridge
22,Michigan,Lansing,Alma,Detroit
23,Minnesota,Saint Paul,Hastings,Mankato
24,Mississippi,Jackson,Columbus,Oxford
25,Missouri,Jefferson City,Fulton,Lexington
26,Montana,Helena,Dillon,Miles City
27,Nebraska,Lincoln,Bellevue,Omaha
28,Nevada,Carson City,Ely,Las Vegas
29,New Hampshire,Concord,Nashua,Plymouth
30,New Jersey,Trenton,Atlantic City,Jersey City
31,New Mexico,Santa Fe,Shiprock,Lovington
32,New York,Albany,New York City,Nyack
33,North Carolina,Raleigh,Jacksonville,Kitty Hawk
34,North Dakota,Bismarck,Mandan,Devils Lake
35,Ohio,Columbus,Akron,Cincinnati
36,Oklahoma,Oklahoma City,Bethany,Edmond
37,Oregon,Salem,Newport,Newberg
38,Pennsylvania,Harrisburg,Philadelphia,Pittsburgh
39,Rhode Island,Providence,Tiverton,Central Falls
40,South Carolina,Columbia,Beaufort,Charleston
41,South Dakota,Pierre,Rapid City,Sioux Falls
42,Tennessee,Nashville,Chattanooga,Cleveland
43,Texas,Austin,Dallas,Alpine
44,Utah,Salt Lake City,American Folk,Moab
45,Vermont,Montpelier,Sharon,Winooski
46,Virginia,Richmond,Hampton,Roanoke
47,Washington,Olympia,Seattle,Tacoma
48,West Virginia,Charleston,Buckhannon,Harpers Ferry
49,Wisconsin,Madison,Eau Claire,Racine
50,Wyoming,Cheyenne,Gillette,Casper
